model,artifact,dataset,variable,metric,depth_m,value
CCM,model_epoch_996.pth,independent,temperature,MAE,10,1.6032632902971777
CCM,model_epoch_996.pth,independent,temperature,MAE,20,1.7944780657668906
CCM,model_epoch_996.pth,independent,temperature,MAE,30,1.723731776953591
CCM,model_epoch_996.pth,independent,temperature,MAE,50,1.9573918672736932
CCM,model_epoch_996.pth,independent,temperature,MAE,75,2.0933844627236957
CCM,model_epoch_996.pth,independent,temperature,MAE,100,2.2657622473263235
CCM,model_epoch_996.pth,independent,temperature,MAE,125,2.0865382462355786
CCM,model_epoch_996.pth,independent,temperature,MAE,150,1.7567243410051567
CCM,model_epoch_996.pth,independent,temperature,MAE,200,0.8869552685701226
CCM,model_epoch_996.pth,independent,temperature,MAE,250,0.33843330559371565
CCM,model_epoch_996.pth,independent,temperature,MAE,300,0.15001297742247183
CCM,model_epoch_996.pth,independent,temperature,MAE,400,0.07483104675482019
CCM,model_epoch_996.pth,independent,temperature,MAE,500,0.06381316639219449
CCM,model_epoch_996.pth,independent,temperature,NRMSE,10,8.293598410521483
CCM,model_epoch_996.pth,independent,temperature,NRMSE,20,9.80809564374156
CCM,model_epoch_996.pth,independent,temperature,NRMSE,30,10.515868828015485
CCM,model_epoch_996.pth,independent,temperature,NRMSE,50,12.719569540064047
CCM,model_epoch_996.pth,independent,temperature,NRMSE,75,14.642970568257546
CCM,model_epoch_996.pth,independent,temperature,NRMSE,100,16.813741239014067
CCM,model_epoch_996.pth,independent,temperature,NRMSE,125,16.98006193056684
CCM,model_epoch_996.pth,independent,temperature,NRMSE,150,18.428876494698986
CCM,model_epoch_996.pth,independent,temperature,NRMSE,200,15.894510834180378
CCM,model_epoch_996.pth,independent,temperature,NRMSE,250,11.216323461230582
CCM,model_epoch_996.pth,independent,temperature,NRMSE,300,8.83368547629817
CCM,model_epoch_996.pth,independent,temperature,NRMSE,400,10.219252888175562
CCM,model_epoch_996.pth,independent,temperature,NRMSE,500,14.628055812038138
CCM,model_epoch_996.pth,independent,salinity,R2,10,0.19481871571966602
CCM,model_epoch_996.pth,independent,salinity,R2,20,0.4680000403959932
CCM,model_epoch_996.pth,independent,salinity,R2,30,0.5154916314143889
CCM,model_epoch_996.pth,independent,salinity,R2,50,0.4434303689650205
CCM,model_epoch_996.pth,independent,salinity,R2,75,0.354281840711548
CCM,model_epoch_996.pth,independent,salinity,R2,100,0.3336803412316641
CCM,model_epoch_996.pth,independent,salinity,R2,125,0.287357469672166
CCM,model_epoch_996.pth,independent,salinity,R2,150,0.17251823673344924
CCM,model_epoch_996.pth,independent,salinity,R2,200,-0.16021207055915077
